NOM	CODE_COM	POP_TOT	POP_MAS	POP_FEM
ABANCOURT	59001	448	237	211
ABSCON	59002	4228	2024	2204
AIBES	59003	361	180	181
AIX	59004	1101	541	560
ALLENNES-LES-MARAIS	59005	3337	1643	1694
AMFROIPRET	59006	222	115	107
ANHIERS	59007	968	468	500
ANICHE	59008	10347	4930	5417
ANNOEULLIN	59011	9663	4649	5014
ANOR	59012	3280	1603	1677
ANSTAING	59013	1267	613	654
ANZIN	59014	13412	6397	7015
ARLEUX	59015	2935	1401	1534
ARMBOUTS-CAPPEL	59016	2497	1230	1267
ARMENTIERES	59017	25375	12384	12991
ARNEKE	59018	1583	753	830
ARTRES	59019	1034	527	507
ASSEVENT	59021	1757	834	923
ATTICHES	59022	2309	1188	1121
AUBENCHEUL-AU-BAC	59023	465	236	229
AUBERCHICOURT	59024	4573	2180	2393
AUBERS	59025	1528	762	766
AUBIGNY-AU-BAC	59026	1217	598	619
AUBRY-DU-HAINAUT	59027	1468	684	784
AUBY	59028	7535	3576	3959
AUCHY-LEZ-ORCHIES	59029	1478	733	745
AUDIGNIES	59031	297	149	148
AULNOY-LEZ-VALENCIENNES	59032	7280	3628	3652
AULNOYE-AYMERIES	59033	8642	4054	4588
AVELIN	59034	2559	1242	1317
AVESNELLES	59035	2505	1201	1304
AVESNES-LE-SEC	59038	1358	659	699
AVESNES-LES-AUBERT	59037	3672	1808	1864
AVESNES-SUR-HELPE	59036	4976	2340	2636
AWOINGT	59039	693	355	338
BACHANT	59041	2398	1162	1236
BACHY	59042	1448	753	695
BAILLEUL	59043	14480	6968	7512
BAISIEUX	59044	4452	2189	2263
BAIVES	59045	157	66	91
BAMBECQUE	59046	729	370	359
BANTEUX	59047	323	167	156
BANTIGNY	59048	470	234	236
BANTOUZELLE	59049	409	210	199
BAS-LIEU	59050	313	152	161
BAUVIN	59052	5265	2571	2694
BAVAY	59053	3516	1673	1843
BAVINCHOVE	59054	921	467	454
BAZUEL	59055	566	278	288
BEAUCAMPS-LIGNY	59056	889	455	434
BEAUDIGNIES	59057	571	299	272
BEAUFORT	59058	961	491	470
BEAUMONT-EN-CAMBRESIS	59059	466	216	250
BEAURAIN	59060	228	117	111
BEAUREPAIRE-SUR-SAMBRE	59061	255	127	128
BEAURIEUX	59062	168	81	87
BEAUVOIS-EN-CAMBRESIS	59063	2143	1038	1105
BELLAING	59064	1194	571	623
BELLIGNIES	59065	894	454	440
BERELLES	59066	165	83	82
BERGUES	59067	3886	1800	2086
BERLAIMONT	59068	3193	1549	1644
BERMERAIN	59069	651	338	313
BERMERIES	59070	404	197	207
BERSEE	59071	2262	1137	1125
BERSILLIES	59072	264	135	129
BERTHEN	59073	506	261	245
BERTRY	59074	2210	1088	1122
BETHENCOURT	59075	749	378	371
BETTIGNIES	59076	262	131	131
BETTRECHIES	59077	247	111	136
BEUGNIES	59078	581	296	285
BEUVRAGES	59079	6652	3203	3449
BEUVRY-LA-FORET	59080	2737	1366	1371
BEVILLERS	59081	555	282	273
BIERNE	59082	1644	813	831
BISSEZEELE	59083	213	111	102
BLARINGHEM	59084	2000	1006	994
BLECOURT	59085	360	168	192
BOESCHEPE	59086	2197	1095	1102
BOËSEGHEM	59087	712	367	345
BOIS-GRENIER	59088	1521	774	747
BOLLEZEELE	59089	1403	682	721
BONDUES	59090	3267	1587	1680
BORRE	59091	573	287	287
BOUCHAIN	59092	4053	1934	2119
BOULOGNE-SUR-HELPE	59093	328	169	159
BOURBOURG	59094	6911	3317	3594
BOURGHELLES	59096	1563	765	798
BOURSIES	59097	339	157	182
BOUSBECQUE	59098	4702	2321	2381
BOUSIES	59099	1699	859	840
BOUSIGNIES	59100	315	162	153
BOUSIGNIES-SUR-ROC	59101	432	225	207
BOUSSIERES-EN-CAMBRESIS	59102	428	205	223
BOUSSIERES-SUR-SAMBRE	59103	523	261	262
BOUSSOIS	59104	3259	1564	1695
BOUVIGNIES	59105	1517	758	759
BOUVINES	59106	709	344	365
BRAY-DUNES	59107	4666	2246	2420
BRIASTRE	59108	720	362	358
BRILLON	59109	735	352	383
BROUCKERQUE	59110	1281	616	665
BROXEELE	59111	304	156	148
BRUAY-SUR-L'ESCAUT	59112	12276	5935	6341
BRUILLE-LEZ-MARCHIENNES	59113	1338	649	689
BRUILLE-SAINT-AMAND	59114	1614	819	795
BRUNEMONT	59115	635	310	325
BRY	59116	376	186	190
BUGNICOURT	59117	952	481	471
BUSIGNY	59118	2559	1223	1336
BUYSSCHEURE	59119	513	261	252
